nohup: ignoring input
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release (v0.10).  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 0: Tesla K40c (CNMeM is disabled, cuDNN not available)
256 0.02 Model_europarlupper_h256_lr0.02.pcl
Building model...
Number of parameters is 17255176
Training...
PPL: 1.0932; Speed: 8707.56 sps
PPL: 1.0933; Speed: 8726.43 sps
PPL: 1.0932; Speed: 8751.01 sps
PPL: 1.0933; Speed: 8770.78 sps
PPL: 1.0933; Speed: 8790.70 sps
PPL: 1.0933; Speed: 8810.16 sps
PPL: 1.0933; Speed: 8825.47 sps
PPL: 1.0933; Speed: 8842.10 sps
PPL: 1.0933; Speed: 8860.19 sps
PPL: 1.0933; Speed: 8871.85 sps
PPL: 1.0933; Speed: 8880.38 sps
PPL: 1.0933; Speed: 8895.90 sps
PPL: 1.0933; Speed: 8907.82 sps
PPL: 1.0933; Speed: 8921.59 sps
PPL: 1.0933; Speed: 8934.18 sps
PPL: 1.0933; Speed: 8945.09 sps
PPL: 1.0933; Speed: 8957.26 sps
PPL: 1.0934; Speed: 8966.32 sps
PPL: 1.0934; Speed: 8977.16 sps
PPL: 1.0934; Speed: 8987.25 sps
PPL: 1.0933; Speed: 8994.61 sps
PPL: 1.0933; Speed: 9003.12 sps
PPL: 1.0933; Speed: 9009.68 sps
PPL: 1.0933; Speed: 9018.29 sps
PPL: 1.0934; Speed: 9027.67 sps
PPL: 1.0934; Speed: 9033.50 sps
PPL: 1.0934; Speed: 9042.80 sps
PPL: 1.0934; Speed: 9048.21 sps
PPL: 1.0934; Speed: 9054.46 sps
PPL: 1.0934; Speed: 9061.71 sps
PPL: 1.0934; Speed: 9066.74 sps
PPL: 1.0934; Speed: 9073.32 sps
PPL: 1.0934; Speed: 9079.48 sps
PPL: 1.0934; Speed: 9084.23 sps
PPL: 1.0934; Speed: 9090.93 sps
PPL: 1.0934; Speed: 9096.40 sps
PPL: 1.0934; Speed: 9100.24 sps
PPL: 1.0934; Speed: 9107.57 sps
PPL: 1.0934; Speed: 9109.19 sps
PPL: 1.0934; Speed: 9116.03 sps
PPL: 1.0934; Speed: 9121.25 sps
PPL: 1.0934; Speed: 9124.90 sps
PPL: 1.0934; Speed: 9130.61 sps
Total number of training labels: 46187008
Total number of validation labels: 5469184
Validation perplexity is 1.1299
PPL: 1.0878; Speed: 2490.94 sps
PPL: 1.0876; Speed: 3945.49 sps
PPL: 1.0878; Speed: 4889.30 sps
PPL: 1.0878; Speed: 5571.10 sps
PPL: 1.0877; Speed: 6066.28 sps
PPL: 1.0878; Speed: 6445.74 sps
PPL: 1.0879; Speed: 6765.43 sps
PPL: 1.0880; Speed: 7021.29 sps
PPL: 1.0880; Speed: 7225.93 sps
PPL: 1.0880; Speed: 7405.92 sps
PPL: 1.0881; Speed: 7548.79 sps
PPL: 1.0881; Speed: 7673.94 sps
PPL: 1.0881; Speed: 7793.86 sps
PPL: 1.0882; Speed: 7891.29 sps
PPL: 1.0882; Speed: 7974.81 sps
PPL: 1.0883; Speed: 8051.35 sps
PPL: 1.0882; Speed: 8116.98 sps
PPL: 1.0884; Speed: 8175.54 sps
PPL: 1.0884; Speed: 8238.72 sps
PPL: 1.0883; Speed: 8284.42 sps
PPL: 1.0884; Speed: 8330.73 sps
PPL: 1.0884; Speed: 8377.77 sps
PPL: 1.0884; Speed: 8417.42 sps
PPL: 1.0884; Speed: 8460.51 sps
PPL: 1.0884; Speed: 8489.67 sps
PPL: 1.0885; Speed: 8524.87 sps
PPL: 1.0885; Speed: 8554.09 sps
PPL: 1.0885; Speed: 8579.94 sps
PPL: 1.0885; Speed: 8609.03 sps
PPL: 1.0885; Speed: 8633.60 sps
PPL: 1.0886; Speed: 8658.86 sps
PPL: 1.0886; Speed: 8682.92 sps
PPL: 1.0886; Speed: 8700.61 sps
PPL: 1.0885; Speed: 8724.27 sps
PPL: 1.0885; Speed: 8745.34 sps
PPL: 1.0886; Speed: 8764.95 sps
PPL: 1.0886; Speed: 8779.99 sps
PPL: 1.0886; Speed: 8793.07 sps
PPL: 1.0886; Speed: 8809.05 sps
PPL: 1.0886; Speed: 8822.57 sps
PPL: 1.0886; Speed: 8838.03 sps
PPL: 1.0886; Speed: 8850.19 sps
PPL: 1.0886; Speed: 8862.60 sps
PPL: 1.0886; Speed: 8877.99 sps
PPL: 1.0886; Speed: 8888.72 sps
PPL: 1.0886; Speed: 8900.76 sps
PPL: 1.0886; Speed: 8914.22 sps
PPL: 1.0886; Speed: 8923.71 sps
PPL: 1.0887; Speed: 8934.60 sps
PPL: 1.0887; Speed: 8945.98 sps
PPL: 1.0887; Speed: 8954.23 sps
PPL: 1.0887; Speed: 8965.25 sps
PPL: 1.0887; Speed: 8970.86 sps
PPL: 1.0887; Speed: 8979.58 sps
PPL: 1.0887; Speed: 8990.18 sps
PPL: 1.0887; Speed: 8996.65 sps
PPL: 1.0887; Speed: 9005.67 sps
PPL: 1.0888; Speed: 9013.51 sps
PPL: 1.0888; Speed: 9020.02 sps
PPL: 1.0888; Speed: 9028.26 sps
PPL: 1.0888; Speed: 9033.91 sps
PPL: 1.0888; Speed: 9037.62 sps
PPL: 1.0888; Speed: 9045.74 sps
PPL: 1.0889; Speed: 9051.40 sps
PPL: 1.0889; Speed: 9057.64 sps
PPL: 1.0889; Speed: 9063.31 sps
PPL: 1.0889; Speed: 9067.15 sps
PPL: 1.0889; Speed: 9073.10 sps
PPL: 1.0889; Speed: 9079.32 sps
PPL: 1.0889; Speed: 9085.04 sps
PPL: 1.0889; Speed: 9090.85 sps
PPL: 1.0889; Speed: 9093.32 sps
PPL: 1.0889; Speed: 9098.13 sps
Total number of training labels: 46187008
Total number of validation labels: 5469184
Validation perplexity is 1.1321
Finished!
Best validation perplexity was 1.12990946709
